"","Atlapetes albinucha","Aulacorhynchus prasinus","Catharus ustulatus","Chamaepetes unicolor","Chiroxiphia linearis","Chlorophonia callophrys","Chlorospingus flavopectus","Dacnis venusta","Elaenia flavogaster","Elaenia frantzii","Euphonia hirundinacea","Icterus galbula","Megarynchus pitangua","Melanerpes hoffmannii","Melozone leucotis","Mionectes olivaceus","Momotus momota","Myadestes melanops","Myiarchus tuberculifer","Myiodynastes luteiventris","Myiozetetes similis","Patagioenas fasciata","Patagioenas flavirostris","Phainoptila melanoxantha","Pharomachrus mocinno","Pheucticus ludovicianus","Piculus rubiginosus","Piranga rubra","Procnias tricarunculatus","Psilorhinus morio","Ramphastos sulfuratus","Semnornis frantzii","Tangara dowii","Tangara icterocephala","Thraupis episcopus","Tityra semifasciata","Trogon aurantiiventris","Turdus assimilis","Turdus grayi","Turdus plebejus"
"Palicourea M_SD_019NA.unidsp.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Paullinia M_SD_019NA.unidsp.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Perrottetia longistylis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Persea M_SD_019NA.unidsp.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Persea M_SD_019NA.unidsp.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Persea veraguensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phytolacca M_SD_019NA.unidsp.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Phytolacca rivinoides",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Picramnia teapensis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Piper auritum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Piper M_SD_019NA.unidsp.1",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Pouteria exfoliata",0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prunus cornifolia",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
