"","Aburria jacutinga","Attila rufus","Cacicus haemorrhous","Carpornis cucullata","Carpornis melanocephala","Celeus flavescens","Chiroxiphia caudata","Chlorophanes spiza","Chlorophonia cyanea","Cnemotriccus fuscatus","Coereba flaveola","Cyanocorax caeruleus","Dacnis cayana","Elaenia obscura","Euphonia pectoralis","Euphonia violacea","Habia rubica","Hemithraupis guira","Hemithraupis ruficapilla","Ilicura militaris","Lathrotriccus euleri","Legatus leucophaius","Lipaugus lanioides","Manacus manacus","Megarynchus pitangua","Mionectes rufiventris","Myiodynastes maculatus","Orchesticus abeillei","Orthogonys chloricterus","Oxyruncus cristatus","Pachyramphus castaneus","Pachyramphus polychopterus","Pachyramphus viridis","Patagioenas cayennensis","Patagioenas picazuro","Patagioenas plumbea","Penelope obscura","Penelope superciliaris","Phylloscartes oustaleti","Pipraeidea melanonota","Pitangus sulphuratus","Procnias nudicollis","Pyroderus scutatus","Ramphastos dicolorus","Ramphastos vitellinus","Saltator fuliginosus","Schiffornis virescens","Selenidera maculirostris","Sirystes sibilator","Tachyphonus coronatus","Tachyphonus cristatus","Tangara cyanocephala","Tangara cyanoptera","Tangara seledon","Tersina viridis","Thraupis ornata","Thraupis palmarum","Thraupis sayaca","Tityra cayana","Tityra inquisitor","Trichothraupis melanops","Trogon rufus","Trogon viridis","Turdus albicollis","Turdus flavipes","Turdus rufiventris","Vireo olivaceus"
"Myrtaceae Machado-de-Souza2019.unidsp.2",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Myrtaceae Machado-de-Souza2019.unidsp.3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nectandra membranacea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Neea schwackeana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Ocotea teleiandra",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Ouratea parviflora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Pera glabrata",0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Piper gaudichaudianum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Piper Machado-de-Souza2019.unidsp.363",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pleiochiton blepharodes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pourouma guianensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Protium kleinii",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Psychotria carthagenensis",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
